fiscal_year,state_name,program_area,total_investment_dollars,number_investments,svi_investments
2012,Kentucky,Telecommunications Programs,1109663,3,0
2012,Kentucky,Water and Environmental,36379095,48,5663895
2012,Louisiana,Business Programs,39760979,30,12283925
2012,Louisiana,Community Facilities,1876630,12,826752
2012,Louisiana,Electric Programs,64271210,1,0
2012,Louisiana,Multifamily Housing,34086313,226,15268891
2012,Louisiana,Single Family Housing,780834547,5561,110509669
2012,Louisiana,Water and Environmental,23886757,14,11592157
2012,Maine,Business Programs,4328076,45,1104275
2012,Maine,Community Facilities,14718410,22,1880163
2012,Maine,Electric Programs,2617569,1,0
2012,Maine,Multifamily Housing,28691203,275,3393311
2012,Maine,Single Family Housing,307885816,2299,6877255
2012,Maine,Telecommunications Programs,761151,2,0
2012,Maine,Water and Environmental,13147408,25,80000
2012,Maryland,Business Programs,2105443,32,368464
2012,Maryland,Community Facilities,8002600,19,3168300
2012,Maryland,Electric Programs,101324000,2,0
2012,Maryland,Multifamily Housing,13760672,114,6244008
2012,Maryland,Single Family Housing,453200090,2232,23654214
2012,Maryland,Water and Environmental,10525300,13,0
2012,Massachusetts,Business Programs,3585557,33,50603
2012,Massachusetts,Community Facilities,7142696,17,0
2012,Massachusetts,Multifamily Housing,9800167,64,896400
2012,Massachusetts,Single Family Housing,234818210,1221,1628201
2012,Massachusetts,Water and Environmental,10001059,18,114553
2012,Michigan,Business Programs,28018935,98,778110
2012,Michigan,Community Facilities,29429826,76,4619800
2012,Michigan,Electric Programs,23875630,1,0
2012,Michigan,Multifamily Housing,32465792,532,7403692
2012,Michigan,Single Family Housing,701165972,7164,33461332
2012,Michigan,Telecommunications Programs,359562,2,0
2012,Michigan,Water and Environmental,68207321,52,4909000
2012,Minnesota,Business Programs,18030041,131,2698854
2012,Minnesota,Community Facilities,94376095,54,7549359
2012,Minnesota,Electric Programs,92926000,7,0
2012,Minnesota,Multifamily Housing,21863228,420,3388163
2012,Minnesota,Single Family Housing,456527954,3943,30927671
2012,Minnesota,Telecommunications Programs,152670,1,0
2012,Minnesota,Water and Environmental,37753506,51,5845180
2012,Mississippi,Business Programs,33460576,55,27037141
2012,Mississippi,Community Facilities,9020165,38,8603501
2012,Mississippi,Electric Programs,170442000,4,0
2012,Mississippi,Multifamily Housing,40081311,351,28940660
2012,Mississippi,Single Family Housing,362257524,3239,69128924
2012,Mississippi,Telecommunications Programs,157508,1,0
2012,Mississippi,Water and Environmental,13600230,31,5491569
2012,Missouri,Business Programs,29970238,98,7152989
2012,Missouri,Community Facilities,51301276,59,597608
2012,Missouri,Electric Programs,96018000,9,0
2012,Missouri,Multifamily Housing,17724990,922,5429827
2012,Missouri,Single Family Housing,581002158,5616,69547094
2012,Missouri,Telecommunications Programs,555857,3,0
2012,Missouri,Water and Environmental,43165093,46,14128226
2012,Montana,Business Programs,11195142,31,1034685
2012,Montana,Community Facilities,68784366,27,5231484
2012,Montana,Multifamily Housing,5815341,209,813656
2012,Montana,Single Family Housing,223162702,1489,8100109
2012,Montana,Telecommunications Programs,295117,1,0
2012,Montana,Water and Environmental,14546640,19,3010242
2012,Nebraska,Business Programs,14901014,78,904589
2012,Nebraska,Community Facilities,44193282,22,158656
2012,Nebraska,Electric Programs,26980000,3,0
2012,Nebraska,Multifamily Housing,6293742,210,715438
2012,Nebraska,Single Family Housing,122285172,1347,13048687
2012,Nebraska,Telecommunications Programs,968028,4,0
2012,Nebraska,Water and Environmental,13474818,21,8666900
2012,Nevada,Business Programs,9775404,21,4914347
2012,Nevada,Community Facilities,3653400,9,3000000
2012,Nevada,Multifamily Housing,7332190,52,4217494
2012,Nevada,Single Family Housing,117185836,833,12475393
2012,Nevada,Water and Environmental,954000,2,0
2012,New Hampshire,Business Programs,4966821,34,0
2012,New Hampshire,Community Facilities,3093632,12,0
2012,New Hampshire,Multifamily Housing,13877084,99,0
2012,New Hampshire,Single Family Housing,173378734,1148,964580
2012,New Hampshire,Water and Environmental,12397443,5,0
2012,New Jersey,Business Programs,1391344,22,502465
2012,New Jersey,Community Facilities,2786600,16,302500
2012,New Jersey,Multifamily Housing,11442359,102,2139648
2012,New Jersey,Single Family Housing,256352568,1467,17632248
2012,New Jersey,Water and Environmental,15300573,14,1130000
2012,New Mexico,Business Programs,7452270,24,7223601
2012,New Mexico,Community Facilities,2275148,10,1700350
2012,New Mexico,Electric Programs,93713675,7,0
2012,New Mexico,Multifamily Housing,12327148,117,7795310
2012,New Mexico,Single Family Housing,57840963,482,22928687
2012,New Mexico,Water and Environmental,12803457,33,8547589
2012,New York,Business Programs,38695036,84,7775874
2012,New York,Community Facilities,8468974,21,3250000
2012,New York,Electric Programs,7020000,2,0
2012,New York,Multifamily Housing,20303612,267,2797152
2012,New York,Single Family Housing,231021408,2165,7846089
2012,New York,Telecommunications Programs,724824,4,0
2012,New York,Water and Environmental,30725242,38,452623
2012,North Carolina,Business Programs,60528159,99,23758653
2012,North Carolina,Community Facilities,84135007,62,39125420
2012,North Carolina,Electric Programs,145284000,8,0
2012,North Carolina,Multifamily Housing,94760853,546,42698295
2012,North Carolina,Single Family Housing,1056021115,7994,161892839
2012,North Carolina,Telecommunications Programs,495971,2,0
2012,North Carolina,Water and Environmental,53093084,37,49109273
2012,North Dakota,Business Programs,20998724,30,5203359
2012,North Dakota,Community Facilities,9392241,18,4569624
2012,North Dakota,Electric Programs,372538000,5,0
2012,North Dakota,Multifamily Housing,5621889,112,741207
2012,North Dakota,Single Family Housing,55077652,451,2410181
2012,North Dakota,Telecommunications Programs,47514852,4,0
2012,North Dakota,Water and Environmental,21595658,18,2955884
2012,Ohio,Business Programs,35236440,61,6158222
2012,Ohio,Community Facilities,3123400,17,0
2012,Ohio,Electric Programs,24425000,4,0
2012,Ohio,Multifamily Housing,25741370,317,3374762
2012,Ohio,Single Family Housing,493381159,4771,19271143
2012,Ohio,Telecommunications Programs,319050,2,0
2012,Ohio,Water and Environmental,30496373,18,27488
2012,Oklahoma,Business Programs,22805488,31,2740173
2012,Oklahoma,Community Facilities,752571,15,722571
2012,Oklahoma,Electric Programs,35993000,3,0
2012,Oklahoma,Multifamily Housing,14918177,266,7381372
2012,Oklahoma,Single Family Housing,307904521,2949,72675068
2012,Oklahoma,Telecommunications Programs,321739,1,0
2012,Oklahoma,Water and Environmental,29426798,15,9456300
2012,Oregon,Business Programs,8038850,91,5180958
2012,Oregon,Community Facilities,2722739,2,2665839
2012,Oregon,Multifamily Housing,16314044,157,6218549
2012,Oregon,Single Family Housing,419615481,2795,87462166
2012,Oregon,Telecommunications Programs,749200,3,0
2012,Oregon,Water and Environmental,4453726,3,0
2012,Pennsylvania,Business Programs,17982834,55,12144720
2012,Pennsylvania,Community Facilities,54440450,36,1924140
2012,Pennsylvania,Electric Programs,40000000,1,0
2012,Pennsylvania,Multifamily Housing,24018383,211,1440240
2012,Pennsylvania,Single Family Housing,667962013,5157,15549314
2012,Pennsylvania,Telecommunications Programs,427305,4,0
2012,Pennsylvania,Water and Environmental,35921882,18,0
2012,Puerto Rico,Business Programs,1775900,11,1775900
2012,Puerto Rico,Community Facilities,10443760,22,10443760
2012,Puerto Rico,Multifamily Housing,17859963,62,17859963
2012,Puerto Rico,Single Family Housing,311417346,2757,311417346
2012,Puerto Rico,Water and Environmental,9021603,7,9021603
2012,Rhode Island,Business Programs,139880,8,13060
2012,Rhode Island,Community Facilities,3231100,4,56200
2012,Rhode Island,Multifamily Housing,2085888,13,0
2012,Rhode Island,Single Family Housing,35563729,194,0
2012,Rhode Island,Water and Environmental,2198624,10,0
2012,South Carolina,Business Programs,36492924,40,21993339
2012,South Carolina,Community Facilities,41321950,41,25761477
2012,South Carolina,Electric Programs,44347000,1,0
2012,South Carolina,Multifamily Housing,25364518,319,16249724
2012,South Carolina,Single Family Housing,445432005,3556,66206140
2012,South Carolina,Telecommunications Programs,14530930,2,0
2012,South Carolina,Water and Environmental,42040948,15,42040948
2012,South Dakota,Business Programs,18198691,51,3495434
2012,South Dakota,Community Facilities,39038855,30,22987813
2012,South Dakota,Electric Programs,161454000,5,0
2012,South Dakota,Multifamily Housing,10711696,250,3155598
2012,South Dakota,Single Family Housing,163969649,1402,10440881
2012,South Dakota,Telecommunications Programs,639284,2,0
2012,South Dakota,Water and Environmental,35951721,18,28204721
2012,Tennessee,Business Programs,29532109,76,8939110
2012,Tennessee,Community Facilities,130443037,45,19088756
2012,Tennessee,Electric Programs,3500000,1,0
2012,Tennessee,Multifamily Housing,26725463,305,14823970
2012,Tennessee,Single Family Housing,671585217,5944,69509412
2012,Tennessee,Water and Environmental,42342497,49,29715082
2012,Texas,Business Programs,30257905,71,14255188
