fiscal_year,state_name,program_area,total_investment_dollars,number_investments,svi_investments
2014,Virginia,Water and Environmental,12425419,25,825250
2014,Washington,Business Programs,21194243,91,9775292
2014,Washington,Community Facilities,5711305,20,444000
2014,Washington,Multifamily Housing,32618046,458,15396268
2014,Washington,Single Family Housing,598036778,3192,71995833
2014,Washington,Telecommunications Programs,22916406,7,0
2014,Washington,Water and Environmental,5017203,14,30000
2014,West Virginia,Business Programs,10173915,19,0
2014,West Virginia,Community Facilities,17949005,28,178830
2014,West Virginia,Multifamily Housing,15250125,187,2580166
2014,West Virginia,Single Family Housing,246124794,2005,17169494
2014,West Virginia,Telecommunications Programs,994275,5,0
2014,West Virginia,Water and Environmental,30264157,22,19473811
2014,Wisconsin,Business Programs,37292051,136,11341212
2014,Wisconsin,Community Facilities,44604093,21,10225299
2014,Wisconsin,Electric Programs,4800000,1,0
2014,Wisconsin,Multifamily Housing,18740929,579,1735327
2014,Wisconsin,Single Family Housing,427451989,3558,11263261
2014,Wisconsin,Telecommunications Programs,804217,3,0
2014,Wisconsin,Water and Environmental,32395308,28,0
2014,Wyoming,Business Programs,25017691,11,19168000
2014,Wyoming,Community Facilities,1075600,4,26600
2014,Wyoming,Electric Programs,3697458,1,0
2014,Wyoming,Multifamily Housing,7546971,55,534132
2014,Wyoming,Single Family Housing,246021183,1372,20446841
2014,Wyoming,Water and Environmental,6096723,5,5677206
2015,Alabama,Business Programs,26946211,72,4865713
2015,Alabama,Community Facilities,3388116,28,1345958
2015,Alabama,Electric Programs,115884000,1,0
2015,Alabama,Multifamily Housing,35700865,364,15839253
2015,Alabama,Single Family Housing,462457845,4052,53470437
2015,Alabama,Telecommunications Programs,853537,2,0
2015,Alabama,Water and Environmental,15317741,22,1318580
2015,Alaska,Business Programs,22978937,29,12328370
2015,Alaska,Community Facilities,176493000,23,165050000
2015,Alaska,Electric Programs,4474644,2,0
2015,Alaska,Multifamily Housing,5224649,34,1305455
2015,Alaska,Single Family Housing,113294269,544,28172048
2015,Alaska,Telecommunications Programs,3496416,7,0
2015,Alaska,Water and Environmental,20340163,32,15826723
2015,Arizona,Business Programs,31344124,38,17689177
2015,Arizona,Community Facilities,26496900,7,9786900
2015,Arizona,Multifamily Housing,18020467,134,12278798
2015,Arizona,Single Family Housing,294571367,2120,79899430
2015,Arizona,Water and Environmental,17124879,54,14799332
2015,Arkansas,Business Programs,10653318,30,7831288
2015,Arkansas,Community Facilities,1436263,41,539000
2015,Arkansas,Electric Programs,136812140,3,0
2015,Arkansas,Multifamily Housing,22491166,303,10214634
2015,Arkansas,Single Family Housing,376312008,3495,42664251
2015,Arkansas,Telecommunications Programs,12128654,2,0
2015,Arkansas,Water and Environmental,27527029,33,11677138
2015,California,Business Programs,35105801,143,13256105
2015,California,Community Facilities,68976011,40,58061537
2015,California,Multifamily Housing,146625944,445,113012991
2015,California,Single Family Housing,650252469,3520,297871485
2015,California,Telecommunications Programs,397630,2,0
2015,California,Water and Environmental,32941988,41,11735571
2015,Colorado,Business Programs,4603330,40,85785
2015,Colorado,Community Facilities,32158479,26,6700675
2015,Colorado,Electric Programs,10849000,1,0
2015,Colorado,Multifamily Housing,12000273,130,5407390
2015,Colorado,Single Family Housing,321807661,1724,41921102
2015,Colorado,Telecommunications Programs,259399,1,0
2015,Colorado,Water and Environmental,7351134,8,6971473
2015,Connecticut,Business Programs,7222867,27,6070969
2015,Connecticut,Community Facilities,14853496,10,0
2015,Connecticut,Multifamily Housing,10859306,68,392352
2015,Connecticut,Single Family Housing,132897847,750,7573498
2015,Connecticut,Water and Environmental,13649069,8,0
2015,Delaware,Business Programs,3438639,36,1814652
2015,Delaware,Community Facilities,31181322,9,7525000
2015,Delaware,Multifamily Housing,7657596,45,3381036
2015,Delaware,Single Family Housing,135409993,693,15967972
2015,Delaware,Water and Environmental,4369000,9,2000000
2015,District of Columbia,Business Programs,1976097,5,0
2015,District of Columbia,Community Facilities,495001,2,0
2015,District of Columbia,Water and Environmental,7294000,3,0
2015,Florida,Business Programs,54446746,45,14086594
2015,Florida,Community Facilities,4268456,5,153507
2015,Florida,Electric Programs,244401000,4,0
2015,Florida,Multifamily Housing,57421139,621,37498112
2015,Florida,Single Family Housing,650635698,4754,123614180
2015,Florida,Telecommunications Programs,276381,1,0
2015,Florida,Water and Environmental,6569483,10,1466192
2015,Georgia,Business Programs,15073450,106,4043123
2015,Georgia,Community Facilities,45186150,37,2458800
2015,Georgia,Electric Programs,270130000,7,0
2015,Georgia,Multifamily Housing,30207644,405,19339295
2015,Georgia,Single Family Housing,532574174,4434,82135266
2015,Georgia,Telecommunications Programs,637469,2,0
2015,Georgia,Water and Environmental,19790461,18,17204461
2015,Hawaii,Business Programs,9337764,24,270229
2015,Hawaii,Community Facilities,7825950,5,25000
2015,Hawaii,Multifamily Housing,7816818,22,1982418
2015,Hawaii,Single Family Housing,228298011,724,27257818
2015,Hawaii,Water and Environmental,35500,2,29000
2015,Idaho,Business Programs,28211480,78,11132817
2015,Idaho,Community Facilities,21974617,8,63617
2015,Idaho,Electric Programs,11500000,1,0
2015,Idaho,Multifamily Housing,16109581,220,5590949
2015,Idaho,Single Family Housing,225027562,1506,27537165
2015,Idaho,Telecommunications Programs,373446,1,0
2015,Idaho,Water and Environmental,55005392,35,42839000
2015,Illinois,Business Programs,10127313,82,2077000
2015,Illinois,Community Facilities,2778019,24,20000
2015,Illinois,Electric Programs,23347600,1,0
2015,Illinois,Multifamily Housing,29779717,648,2429236
2015,Illinois,Single Family Housing,345847223,4072,19391198
2015,Illinois,Telecommunications Programs,139042,1,0
2015,Illinois,Water and Environmental,53582612,65,0
2015,Indiana,Business Programs,7266866,93,116835
2015,Indiana,Community Facilities,1753368,15,12700
2015,Indiana,Electric Programs,71500000,4,0
2015,Indiana,Multifamily Housing,21066136,583,3701949
2015,Indiana,Single Family Housing,612818294,5733,39105650
2015,Indiana,Water and Environmental,14726418,16,0
2015,Iowa,Business Programs,62907177,214,5101471
2015,Iowa,Community Facilities,112888638,32,0
2015,Iowa,Electric Programs,118573000,6,0
2015,Iowa,Multifamily Housing,20452328,587,1511009
2015,Iowa,Single Family Housing,246087731,2560,13608359
2015,Iowa,Telecommunications Programs,32725771,6,0
2015,Iowa,Water and Environmental,21762857,39,485178
2015,Kansas,Business Programs,23082176,70,2063504
2015,Kansas,Community Facilities,11336224,15,600000
2015,Kansas,Electric Programs,15000000,2,0
2015,Kansas,Multifamily Housing,11397509,346,1005840
2015,Kansas,Single Family Housing,146226484,1363,10072668
2015,Kansas,Telecommunications Programs,138157,1,0
2015,Kansas,Water and Environmental,24577458,28,0
2015,Kentucky,Business Programs,27020195,129,8098109
2015,Kentucky,Community Facilities,163651023,51,10716967
2015,Kentucky,Electric Programs,329324000,3,0
2015,Kentucky,Multifamily Housing,37246859,359,11162867
2015,Kentucky,Single Family Housing,508010295,4775,44994801
2015,Kentucky,Telecommunications Programs,573650,3,0
2015,Kentucky,Water and Environmental,65204363,48,34531113
2015,Louisiana,Business Programs,54670151,51,22493189
2015,Louisiana,Community Facilities,26507593,18,3068809
2015,Louisiana,Multifamily Housing,46269076,285,25507780
2015,Louisiana,Single Family Housing,696103361,4994,109750926
2015,Louisiana,Water and Environmental,45839620,28,8935026
2015,Maine,Business Programs,3043473,74,71225
2015,Maine,Community Facilities,16256100,17,4000000
2015,Maine,Electric Programs,673862,1,0
2015,Maine,Multifamily Housing,29879768,299,3460863
2015,Maine,Single Family Housing,260607793,1944,7401915
2015,Maine,Telecommunications Programs,1659937,6,0
2015,Maine,Water and Environmental,20865894,27,1833750
2015,Maryland,Business Programs,6067461,64,348995
2015,Maryland,Community Facilities,5308300,10,5050000
2015,Maryland,Multifamily Housing,19224514,133,8436740
2015,Maryland,Single Family Housing,508653886,2525,28666852
2015,Maryland,Telecommunications Programs,49261,1,0
2015,Maryland,Water and Environmental,22405022,30,2561122
2015,Massachusetts,Business Programs,2360141,48,106799
2015,Massachusetts,Community Facilities,17143723,14,781100
2015,Massachusetts,Electric Programs,2146375,1,0
2015,Massachusetts,Multifamily Housing,11522333,71,664104
2015,Massachusetts,Single Family Housing,207608944,1034,2184603
2015,Massachusetts,Water and Environmental,8575002,18,0
2015,Michigan,Business Programs,24133059,126,105073
2015,Michigan,Community Facilities,70173098,73,26926448
2015,Michigan,Electric Programs,83844742,2,0
2015,Michigan,Multifamily Housing,32366695,765,8578831
2015,Michigan,Single Family Housing,777525040,7267,41638739
2015,Michigan,Telecommunications Programs,425077,2,0
2015,Michigan,Water and Environmental,67619453,41,2270000
2015,Minnesota,Business Programs,25617589,121,822323
2015,Minnesota,Community Facilities,31538239,35,2150544
2015,Minnesota,Electric Programs,327752680,19,0
2015,Minnesota,Multifamily Housing,18545013,474,2797016
2015,Minnesota,Single Family Housing,535206683,4117,35594927
2015,Minnesota,Telecommunications Programs,18067704,2,0
2015,Minnesota,Water and Environmental,35233181,30,16228714
2015,Mississippi,Business Programs,17189808,45,11524699
2015,Mississippi,Community Facilities,451600,17,289400
2015,Mississippi,Electric Programs,76076000,1,0
2015,Mississippi,Multifamily Housing,44024166,361,30987670
2015,Mississippi,Single Family Housing,347882533,3095,68666136
2015,Mississippi,Telecommunications Programs,498961,1,0
2015,Mississippi,Water and Environmental,35331627,32,9374098
2015,Missouri,Business Programs,57513693,161,7381395
2015,Missouri,Community Facilities,25448200,63,4460611
2015,Missouri,Electric Programs,270386000,6,0
2015,Missouri,Multifamily Housing,21420526,1027,5425345
2015,Missouri,Single Family Housing,594129867,5398,70475124
2015,Missouri,Telecommunications Programs,308023,3,0
2015,Missouri,Water and Environmental,55934729,47,2741200
2015,Montana,Business Programs,19605186,54,395274
2015,Montana,Community Facilities,12393975,14,975568
2015,Montana,Electric Programs,13000000,2,0
2015,Montana,Multifamily Housing,6019401,155,922833
2015,Montana,Single Family Housing,204022117,1216,8372953
2015,Montana,Telecommunications Programs,19501225,2,0
2015,Montana,Water and Environmental,28662903,23,988322
2015,Nebraska,Business Programs,12495121,100,126098
2015,Nebraska,Community Facilities,13009686,10,0
2015,Nebraska,Electric Programs,7919000,1,0
2015,Nebraska,Multifamily Housing,6726151,255,928602
2015,Nebraska,Single Family Housing,104943251,1067,9924396
2015,Nebraska,Telecommunications Programs,4219000,2,0
2015,Nebraska,Water and Environmental,10274481,23,717000
2015,Nevada,Business Programs,11767146,24,37197
2015,Nevada,Community Facilities,1013400,10,971635
2015,Nevada,Multifamily Housing,10686980,61,6659612
2015,Nevada,Single Family Housing,125802295,699,11792591
2015,Nevada,Telecommunications Programs,212919,1,0
2015,Nevada,Water and Environmental,26297825,10,6521200
2015,New Hampshire,Business Programs,4812501,52,0
2015,New Hampshire,Community Facilities,5292200,15,0
2015,New Hampshire,Multifamily Housing,24247867,102,0
2015,New Hampshire,Single Family Housing,154687537,995,1352116
2015,New Hampshire,Telecommunications Programs,489206,1,0
2015,New Hampshire,Water and Environmental,13678300,11,0
2015,New Jersey,Business Programs,11806969,21,247413
2015,New Jersey,Community Facilities,129300,4,60000
2015,New Jersey,Multifamily Housing,9209788,87,1933344
2015,New Jersey,Single Family Housing,173353555,1027,16740802
2015,New Jersey,Water and Environmental,12850262,11,3195000
2015,New Mexico,Business Programs,8461435,50,7617542
2015,New Mexico,Community Facilities,850600,9,600000
2015,New Mexico,Electric Programs,53428000,2,0
2015,New Mexico,Multifamily Housing,16246440,132,11110673
2015,New Mexico,Single Family Housing,65549609,529,28106471
2015,New Mexico,Telecommunications Programs,5807561,2,0
2015,New Mexico,Water and Environmental,21280338,12,8349925
2015,New York,Business Programs,19894993,131,882368
2015,New York,Community Facilities,6630868,28,0
2015,New York,Multifamily Housing,28918060,343,2070087
2015,New York,Single Family Housing,247033034,2244,9640075
2015,New York,Telecommunications Programs,401744,2,0
2015,New York,Water and Environmental,26293247,44,3434000
2015,North Carolina,Business Programs,200589938,173,104763016
2015,North Carolina,Community Facilities,72503818,60,31556352
2015,North Carolina,Electric Programs,134909000,10,0
2015,North Carolina,Multifamily Housing,84466949,552,43278882
2015,North Carolina,Single Family Housing,978972381,7392,166792323
2015,North Carolina,Water and Environmental,37512347,36,15435975
2015,North Dakota,Business Programs,13333604,36,140843
2015,North Dakota,Community Facilities,30638875,18,3591150
2015,North Dakota,Electric Programs,116147000,4,0
2015,North Dakota,Multifamily Housing,4153527,131,639948
2015,North Dakota,Single Family Housing,60733508,446,2043912
2015,North Dakota,Telecommunications Programs,24169793,4,0
2015,North Dakota,Water and Environmental,13570428,19,2110000
2015,Ohio,Business Programs,33173448,99,986902
2015,Ohio,Community Facilities,92767200,31,120000
2015,Ohio,Electric Programs,33070000,3,0
2015,Ohio,Multifamily Housing,31499220,445,4411569
2015,Ohio,Single Family Housing,572951176,5437,24099465
2015,Ohio,Telecommunications Programs,243460,1,0
2015,Ohio,Water and Environmental,39926577,26,297000
2015,Oklahoma,Business Programs,19879289,31,5257811
2015,Oklahoma,Community Facilities,31566498,32,31189298
2015,Oklahoma,Electric Programs,40397000,3,0
2015,Oklahoma,Multifamily Housing,18746608,279,10081391
2015,Oklahoma,Single Family Housing,269084609,2425,64390776
2015,Oklahoma,Telecommunications Programs,22835587,4,0
2015,Oklahoma,Water and Environmental,36385107,25,7278510
2015,Oregon,Business Programs,61592840,138,28775959
2015,Oregon,Community Facilities,21170600,8,90016
2015,Oregon,Electric Programs,35067000,2,0
2015,Oregon,Multifamily Housing,21864776,195,9891960
2015,Oregon,Single Family Housing,452398114,2581,100359287
2015,Oregon,Telecommunications Programs,107868,1,0
2015,Oregon,Water and Environmental,37139248,16,17846495
2015,Pennsylvania,Business Programs,28351458,104,6684618
2015,Pennsylvania,Community Facilities,174728900,51,53173500
2015,Pennsylvania,Multifamily Housing,38260764,259,2197168
2015,Pennsylvania,Single Family Housing,658714113,5237,17646982
2015,Pennsylvania,Water and Environmental,69175847,23,10125
2015,Puerto Rico,Business Programs,5796214,26,5796214
2015,Puerto Rico,Community Facilities,9892356,19,9892356
2015,Puerto Rico,Multifamily Housing,17585241,63,17585241
2015,Puerto Rico,Single Family Housing,251194057,2315,251194057
2015,Puerto Rico,Water and Environmental,9765280,16,9765280
2015,Rhode Island,Business Programs,730459,14,51785
2015,Rhode Island,Community Facilities,6366068,5,28845
2015,Rhode Island,Multifamily Housing,1895496,12,23592
2015,Rhode Island,Single Family Housing,33903075,171,0
2015,South Carolina,Business Programs,16003330,42,2204925
2015,South Carolina,Community Facilities,59723900,63,52418627
2015,South Carolina,Electric Programs,146951000,5,0
2015,South Carolina,Multifamily Housing,38721591,423,24303751
2015,South Carolina,Single Family Housing,543112519,4119,80118372
2015,South Carolina,Telecommunications Programs,13490169,5,0
2015,South Carolina,Water and Environmental,42395037,27,10366279
2015,South Dakota,Business Programs,8887121,75,3819732
2015,South Dakota,Community Facilities,13427739,20,841209
2015,South Dakota,Electric Programs,7741000,2,0
2015,South Dakota,Multifamily Housing,11794805,399,4207073
2015,South Dakota,Single Family Housing,189059911,1485,12464672
2015,South Dakota,Telecommunications Programs,941255,4,0
2015,South Dakota,Water and Environmental,19504348,16,8522000
2015,Tennessee,Business Programs,32852977,106,12834990
2015,Tennessee,Community Facilities,140825313,50,2896618
2015,Tennessee,Multifamily Housing,63718622,359,31562810
2015,Tennessee,Single Family Housing,946410474,7707,118835279
2015,Tennessee,Telecommunications Programs,627523,2,0
2015,Tennessee,Water and Environmental,33973357,39,8468479
2015,Texas,Business Programs,42324625,72,39194398
2015,Texas,Community Facilities,37231500,25,33846000
2015,Texas,Multifamily Housing,62116616,756,40874132
2015,Texas,Single Family Housing,789101539,5790,167622989
2015,Texas,Telecommunications Programs,6800000,1,0
2015,Texas,Water and Environmental,128828147,103,109605877
2015,Utah,Business Programs,23696803,21,583650
2015,Utah,Community Facilities,7326000,5,0
2015,Utah,Multifamily Housing,8141357,63,1676160
2015,Utah,Single Family Housing,445772826,2401,15082857
2015,Utah,Telecommunications Programs,279902,2,0
2015,Utah,Water and Environmental,9335000,7,89000
2015,Vermont,Business Programs,4472673,70,697034
2015,Vermont,Community Facilities,4269795,36,196800
2015,Vermont,Electric Programs,7141000,1,0
2015,Vermont,Multifamily Housing,9921330,59,496392
2015,Vermont,Single Family Housing,88431937,602,1769873
2015,Vermont,Water and Environmental,15542745,25,1328757
2015,Virginia,Business Programs,22654664,84,1130855
2015,Virginia,Community Facilities,2871397,36,592300
2015,Virginia,Electric Programs,254238000,2,0
2015,Virginia,Multifamily Housing,31495610,237,12684418
2015,Virginia,Single Family Housing,629365365,4049,56061110
2015,Virginia,Telecommunications Programs,405161,1,0
2015,Virginia,Water and Environmental,35411346,32,7577000
2015,Washington,Business Programs,16055812,125,5250346
2015,Washington,Community Facilities,3251694,17,131800
2015,Washington,Electric Programs,16142000,1,0
2015,Washington,Multifamily Housing,36683561,443,14824448
2015,Washington,Single Family Housing,561671739,2920,80161369
2015,Washington,Telecommunications Programs,351003,1,0
2015,Washington,Water and Environmental,18891046,23,5719000
2015,West Virginia,Business Programs,841034,30,70494
2015,West Virginia,Community Facilities,10077832,27,3071442
2015,West Virginia,Multifamily Housing,17839003,221,3872520
2015,West Virginia,Single Family Housing,237694847,1895,15545135
2015,West Virginia,Water and Environmental,59112967,31,9319000
2015,Wisconsin,Business Programs,29155891,179,295017
2015,Wisconsin,Community Facilities,43064669,20,177800
2015,Wisconsin,Electric Programs,31500000,3,0
2015,Wisconsin,Multifamily Housing,19907042,674,2304118
2015,Wisconsin,Single Family Housing,383648413,3168,11028161
2015,Wisconsin,Telecommunications Programs,8744357,7,0
2015,Wisconsin,Water and Environmental,39192594,43,2101500
2015,Wyoming,Business Programs,5929431,14,0
2015,Wyoming,Community Facilities,5072700,4,0
2015,Wyoming,Multifamily Housing,4820037,52,609702
2015,Wyoming,Single Family Housing,241213048,1301,19290619
2015,Wyoming,Water and Environmental,882000,6,0
2016,Alabama,Business Programs,21256054,60,7421446
2016,Alabama,Community Facilities,57269948,36,56633710
2016,Alabama,Electric Programs,50540000,2,0
2016,Alabama,Multifamily Housing,37587765,440,18649924
2016,Alabama,Single Family Housing,434647710,3608,45041674
2016,Alabama,Telecommunications Programs,432878,2,0
2016,Alabama,Water and Environmental,27161287,37,8669369
2016,Alaska,Business Programs,20040810,15,9512364
2016,Alaska,Community Facilities,546995,6,143000
2016,Alaska,Electric Programs,20421495,5,0
2016,Alaska,Multifamily Housing,8351271,43,4193296
2016,Alaska,Single Family Housing,112256365,513,30722111
2016,Alaska,Telecommunications Programs,1018010,4,0
2016,Alaska,Water and Environmental,38079892,44,21356472
2016,Arizona,Business Programs,28994103,39,17350473
2016,Arizona,Community Facilities,18376100,8,15679000
2016,Arizona,Electric Programs,31167000,1,0
2016,Arizona,Multifamily Housing,21788782,146,14597382
2016,Arizona,Single Family Housing,234836886,1668,69750615
2016,Arizona,Telecommunications Programs,205052,1,0
2016,Arizona,Water and Environmental,14895606,21,14058613
2016,Arkansas,Business Programs,5959748,33,2217536
2016,Arkansas,Community Facilities,30021279,52,12274975
2016,Arkansas,Electric Programs,21692000,1,0
2016,Arkansas,Multifamily Housing,30175106,367,13769277
2016,Arkansas,Single Family Housing,383072003,3496,46093434
2016,Arkansas,Telecommunications Programs,7104097,5,0
2016,Arkansas,Water and Environmental,30407530,34,5544400
2016,California,Business Programs,45542138,137,10254714
2016,California,Community Facilities,83376387,55,39024412
2016,California,Electric Programs,16012651,2,0
2016,California,Multifamily Housing,163777483,517,116326835
2016,California,Single Family Housing,508364425,2726,274519939
2016,California,Telecommunications Programs,1339516,7,0
2016,California,Water and Environmental,16889128,24,6682631
2016,Colorado,Business Programs,41554121,51,1436286
2016,Colorado,Community Facilities,37981872,31,20803955
2016,Colorado,Electric Programs,20866000,1,0
2016,Colorado,Multifamily Housing,16508818,136,7152524
2016,Colorado,Single Family Housing,243705770,1271,39506185
2016,Colorado,Telecommunications Programs,177139,1,0
2016,Colorado,Water and Environmental,9573916,19,5590218
2016,Connecticut,Business Programs,2954869,17,52382
2016,Connecticut,Community Facilities,44334559,19,0
2016,Connecticut,Multifamily Housing,15470289,79,467390
2016,Connecticut,Single Family Housing,111758110,642,8780323
2016,Connecticut,Water and Environmental,5207757,7,0
2016,Delaware,Business Programs,2528628,17,164387
2016,Delaware,Community Facilities,18038050,16,7778050
2016,Delaware,Multifamily Housing,8106255,52,3578190
2016,Delaware,Single Family Housing,132476375,701,17404358
2016,Delaware,Water and Environmental,10705000,14,2096000
2016,District of Columbia,Business Programs,1003566,4,0
2016,District of Columbia,Community Facilities,25750000,4,0
2016,District of Columbia,Water and Environmental,7742218,3,0
2016,Florida,Business Programs,102155158,57,50252509
2016,Florida,Community Facilities,5878338,19,1886650
2016,Florida,Electric Programs,89004000,3,0
2016,Florida,Multifamily Housing,109962890,778,74628310
2016,Florida,Single Family Housing,609446766,4340,121036891
2016,Florida,Water and Environmental,22771875,9,21227900
2016,Georgia,Business Programs,55897716,86,27127929
2016,Georgia,Community Facilities,61533825,63,57598225
2016,Georgia,Electric Programs,740469000,8,0
2016,Georgia,Multifamily Housing,37964260,509,25905719
2016,Georgia,Single Family Housing,552214200,4457,91149494
2016,Georgia,Telecommunications Programs,1014412,5,0
2016,Georgia,Water and Environmental,45759549,19,24593549
2016,Hawaii,Business Programs,8915223,25,77129
2016,Hawaii,Community Facilities,28793343,8,9754743
2016,Hawaii,Multifamily Housing,19870008,29,4570915
2016,Hawaii,Single Family Housing,181131781,582,21716470
2016,Hawaii,Water and Environmental,16167932,12,0
2016,Idaho,Business Programs,8980661,63,4699022
2016,Idaho,Community Facilities,1772850,16,294900
2016,Idaho,Multifamily Housing,24155755,281,7689910
2016,Idaho,Single Family Housing,172050955,1140,25109620
2016,Idaho,Telecommunications Programs,12691000,1,0
2016,Idaho,Water and Environmental,24705499,43,3048392
2016,Illinois,Business Programs,4225801,54,137103
2016,Illinois,Community Facilities,15088934,40,116500
2016,Illinois,Multifamily Housing,36911951,671,2764288
2016,Illinois,Single Family Housing,311064166,3716,20308130
2016,Illinois,Water and Environmental,69411162,60,10520000
2016,Indiana,Business Programs,18632565,66,4935048
2016,Indiana,Community Facilities,5524093,22,1825000
2016,Indiana,Electric Programs,20000000,4,0
2016,Indiana,Multifamily Housing,27957834,718,3894823
2016,Indiana,Single Family Housing,574893644,5336,38246335
2016,Indiana,Telecommunications Programs,38643,1,0
2016,Indiana,Water and Environmental,67807873,27,0
2016,Iowa,Business Programs,49705685,117,10309591
2016,Iowa,Community Facilities,285683531,70,49786851
2016,Iowa,Electric Programs,67220360,3,0
2016,Iowa,Multifamily Housing,28049504,710,2559336
2016,Iowa,Single Family Housing,213963837,2187,12509052
2016,Iowa,Telecommunications Programs,10903152,2,0
2016,Iowa,Water and Environmental,48227356,37,0
2016,Kansas,Business Programs,11355010,79,402465
2016,Kansas,Community Facilities,51342775,32,0
2016,Kansas,Electric Programs,53818000,3,0
2016,Kansas,Multifamily Housing,17397236,400,4811714
2016,Kansas,Single Family Housing,125433713,1207,8367274
2016,Kansas,Telecommunications Programs,19010304,3,0
2016,Kansas,Water and Environmental,12702942,17,0
2016,Kentucky,Business Programs,23064484,97,14057422
2016,Kentucky,Community Facilities,137938772,59,17301515
2016,Kentucky,Electric Programs,323269000,9,0
2016,Kentucky,Multifamily Housing,44664240,427,14998822
2016,Kentucky,Single Family Housing,468323681,4490,47027476
2016,Kentucky,Telecommunications Programs,592720,2,0
2016,Kentucky,Water and Environmental,37627292,33,9988292
2016,Louisiana,Business Programs,60761631,55,24297240
2016,Louisiana,Community Facilities,78754214,25,383410
2016,Louisiana,Multifamily Housing,55607550,349,28427587
2016,Louisiana,Single Family Housing,626052117,4411,94174703
2016,Louisiana,Telecommunications Programs,507593,2,0
2016,Louisiana,Water and Environmental,22073664,14,7770664
2016,Maine,Business Programs,6956300,71,231811
2016,Maine,Community Facilities,23196373,21,230900
2016,Maine,Multifamily Housing,48760294,448,9603377
2016,Maine,Single Family Housing,266241013,1968,7302046
2016,Maine,Telecommunications Programs,311353,1,0
2016,Maine,Water and Environmental,29997090,28,730500
2016,Maryland,Business Programs,1974577,36,483882
2016,Maryland,Community Facilities,13371460,21,4150000
2016,Maryland,Multifamily Housing,23193188,150,8936667
2016,Maryland,Single Family Housing,456744185,2278,26097181
2016,Maryland,Water and Environmental,14543500,23,674500
2016,Massachusetts,Business Programs,1636201,58,40694
2016,Massachusetts,Community Facilities,16383906,18,263458
2016,Massachusetts,Multifamily Housing,16584042,84,826030
2016,Massachusetts,Single Family Housing,161997897,814,1582189
2016,Massachusetts,Telecommunications Programs,293455,1,0
2016,Massachusetts,Water and Environmental,10236746,15,25000
2016,Michigan,Business Programs,34879525,93,6512305
2016,Michigan,Community Facilities,79871800,94,215800
2016,Michigan,Electric Programs,47041000,2,0
2016,Michigan,Multifamily Housing,41060988,758,10030031
2016,Michigan,Single Family Housing,669946091,6204,37733780
2016,Michigan,Telecommunications Programs,506279,2,0
2016,Michigan,Water and Environmental,71783950,49,13395000
2016,Minnesota,Business Programs,48176596,92,6383267
2016,Minnesota,Community Facilities,60327890,48,14141310
2016,Minnesota,Electric Programs,91631000,5,0
2016,Minnesota,Multifamily Housing,25939810,657,4430308
2016,Minnesota,Single Family Housing,476323215,3499,34902957
2016,Minnesota,Telecommunications Programs,7187048,7,0
2016,Minnesota,Water and Environmental,40505865,26,7358981
2016,Mississippi,Business Programs,15898051,41,2538550
2016,Mississippi,Community Facilities,108389406,51,41620576
2016,Mississippi,Electric Programs,123425508,2,0
2016,Mississippi,Multifamily Housing,59728656,448,45331496
2016,Mississippi,Single Family Housing,362674466,3164,78923394
2016,Mississippi,Telecommunications Programs,251573,1,0
2016,Mississippi,Water and Environmental,46065559,37,32913884
2016,Missouri,Business Programs,45577492,146,12351617
2016,Missouri,Community Facilities,52932837,68,1632582
2016,Missouri,Electric Programs,78782107,3,0
2016,Missouri,Multifamily Housing,28958335,1082,8404032
2016,Missouri,Single Family Housing,589306242,5253,69528240
2016,Missouri,Water and Environmental,43239000,33,4912000
2016,Montana,Business Programs,16768832,44,1309379
2016,Montana,Community Facilities,14606533,27,860000
2016,Montana,Electric Programs,3000000,1,0
2016,Montana,Multifamily Housing,8487204,201,1372136
2016,Montana,Single Family Housing,164531633,949,5911222
2016,Montana,Telecommunications Programs,25211622,5,0
2016,Montana,Water and Environmental,36809010,36,2058366
2016,Nebraska,Business Programs,36656499,92,170832
2016,Nebraska,Community Facilities,36821891,28,2780000
2016,Nebraska,Multifamily Housing,8655196,271,1069116
2016,Nebraska,Single Family Housing,99851532,990,8708180
2016,Nebraska,Telecommunications Programs,299394,2,0
2016,Nebraska,Water and Environmental,13675263,35,1205328
2016,Nevada,Business Programs,18470434,19,10242691
2016,Nevada,Community Facilities,16072528,18,357775
2016,Nevada,Multifamily Housing,14175810,74,6131275
2016,Nevada,Single Family Housing,115101005,615,13065169
2016,Nevada,Telecommunications Programs,1346015,3,0
2016,Nevada,Water and Environmental,20597589,4,30000
2016,New Hampshire,Business Programs,6031070,42,35069
2016,New Hampshire,Community Facilities,38859173,27,0
2016,New Hampshire,Multifamily Housing,22372225,123,0
2016,New Hampshire,Single Family Housing,130576842,870,1758910
2016,New Hampshire,Telecommunications Programs,3672758,1,0
2016,New Hampshire,Water and Environmental,10693325,21,0
2016,New Jersey,Business Programs,1204947,23,235897
2016,New Jersey,Community Facilities,11204900,12,10939500
2016,New Jersey,Multifamily Housing,14999832,100,2403258
2016,New Jersey,Single Family Housing,118484290,719,12002631
2016,New Jersey,Water and Environmental,17357210,14,4354828
2016,New Mexico,Business Programs,9964926,39,4207686
2016,New Mexico,Community Facilities,450440,5,270040
2016,New Mexico,Electric Programs,1406975,1,0
2016,New Mexico,Multifamily Housing,24167972,139,17391751
